sweep,mode,direction,setting_name,setting,input_flux,conversion_flux,P_flux,Q_flux,Pprime_flux,conversion_efficiency,fidelity_P_fraction,promiscuity_Pprime_fraction,Q_branch_fraction,P_over_Q_ratio,A_mean,P_mean,Q_mean,Pprime_mean,activity_mean,mode_state_mean,P_out_flux,Q_out_flux,Pprime_out_flux
conversion_throughput,threshold,,input_flux,4.0,3.916923,3.516923,3.447692,0.0,0.069231,0.898232,0.980315,0.019685,0.0,0.0,34.84,54.481538,0.0,1.143077,0.511634,0.0,3.452308,0.0,0.070769
conversion_throughput,threshold,,input_flux,7.0,7.141538,6.607692,6.483077,0.0,0.124615,0.925245,0.981142,0.018858,0.0,0.0,48.803077,99.836923,0.0,1.987692,0.634674,0.0,6.496923,0.0,0.126154
conversion_throughput,threshold,,input_flux,10.0,10.289231,9.58,9.364615,0.0,0.215385,0.931071,0.977518,0.022482,0.0,0.0,60.887692,142.233846,0.0,3.313846,0.73887,0.0,9.326154,0.0,0.212308
conversion_throughput,inhibition,,input_flux,0.25,0.293846,0.216923,0.213846,0.0,0.003077,0.73822,0.985816,0.014184,0.0,0.0,6.863077,2.998462,0.0,0.044615,0.21955,0.0,0.212308,0.0,0.003077
conversion_throughput,inhibition,,input_flux,0.5,0.447692,0.372308,0.364615,0.0,0.007692,0.831615,0.979339,0.020661,0.0,0.0,8.116923,5.784615,0.0,0.169231,0.235727,0.0,0.358462,0.0,0.007692
conversion_throughput,inhibition,,input_flux,1.0,1.018462,0.873846,0.855385,0.0,0.018462,0.858006,0.978873,0.021127,0.0,0.0,13.841538,13.186154,0.0,0.349231,0.363291,0.0,0.849231,0.0,0.018462
conversion_throughput,inhibition,,input_flux,2.0,2.050769,1.824615,1.789231,0.0,0.035385,0.889722,0.980605,0.019395,0.0,0.0,19.956923,27.590769,0.0,0.618462,0.466117,0.0,1.789231,0.0,0.035385
conversion_throughput,inhibition,,input_flux,4.0,4.091231,3.738462,3.678462,0.0,0.06,0.913534,0.983944,0.016056,0.0,0.0,31.066154,56.676923,0.0,0.989231,0.576416,0.0,3.684615,0.0,0.056923
conversion_throughput,inhibition,,input_flux,7.0,7.098462,6.544615,6.407692,0.0,0.136923,0.921977,0.979078,0.020922,0.0,0.0,43.346154,97.147692,0.0,2.170769,0.638283,0.0,6.421538,0.0,0.138462
conversion_throughput,inhibition,,input_flux,10.0,10.197692,9.486154,9.303077,0.0,0.183077,0.930296,0.980702,0.019298,0.0,0.0,57.669231,141.410769,0.0,3.001538,0.735268,0.0,9.313846,0.0,0.181538
fidelity_promiscuity,threshold,,off_target,0.0,3.978462,3.581538,3.581538,0.0,0.0,0.900232,1.0,0.0,0.0,0.0,35.030769,54.936923,0.0,0.0,0.522706,0.0,3.566154,0.0,0.0
fidelity_promiscuity,threshold,,off_target,0.005,3.961538,3.564615,3.535385,0.0,0.029231,0.899806,0.9918,0.0082,0.0,0.0,34.756923,54.706154,0.0,0.412308,0.517246,0.0,3.529231,0.0,0.030769
fidelity_promiscuity,threshold,,off_target,0.01,4.06,3.693846,3.653846,0.0,0.04,0.909814,0.989171,0.010829,0.0,0.0,34.378462,59.416923,0.0,0.886154,0.512714,0.0,3.675385,0.0,0.043077
fidelity_promiscuity,threshold,,off_target,0.02,3.958462,3.590769,3.526154,0.0,0.064615,0.907112,0.982005,0.017995,0.0,0.0,34.543077,56.155385,0.0,1.007692,0.512504,0.0,3.52,0.0,0.063077
fidelity_promiscuity,threshold,,off_target,0.05,3.975385,3.556923,3.367692,0.0,0.189231,0.894737,0.946799,0.053201,0.0,0.0,34.924615,52.116923,0.0,2.54,0.518091,0.0,3.375385,0.0,0.189231
fidelity_promiscuity,threshold,,off_target,0.1,4.015385,3.64,3.301538,0.0,0.338462,0.90613,0.907016,0.092984,0.0,0.0,35.083077,50.484615,0.0,5.378462,0.521565,0.0,3.286154,0.0,0.347692
fidelity_promiscuity,threshold,,off_target,0.2,3.953846,3.647692,2.903077,0.0,0.744615,0.922538,0.795867,0.204133,0.0,0.0,34.48,43.146154,0.0,11.724615,0.507922,0.0,2.881538,0.0,0.723077
gating_conditional_response,threshold,,gate,0.0,3.98,3.598462,0.0,3.515385,0.083077,0.904136,0.0,0.023087,0.976913,0.0,34.586154,0.0,56.34,1.173846,0.510842,0.0,0.0,3.506154,0.087692
gating_conditional_response,threshold,,gate,0.1,4.016923,3.643077,0.349231,3.238462,0.055385,0.906932,0.095861,0.015203,0.888936,0.107838,34.161538,6.026154,48.536923,0.907692,0.502054,0.0,0.347692,3.213846,0.055385
